sentiment,text
0.0000,hide new secretion parental unit
0.0000,contain wit labor gag
1.0000,love character communicate beautiful human nature
0.0000,remain utterly satisfied remain
0.0000,bad revengeofthenerd filmmaker dredge
0.0000,far tragic merit superficial treatment
1.0000,demonstrate director hollywood blockbuster patriot game turn small personal film emotional wallop
1.0000,saucy
0.0000,depress fifteenyearold suicidal poetry
1.0000,deeply think rightthinke film
0.0000,go absurd length
0.0000,moviegoer complain not movie like anymore
0.0000,happen
0.0000,see bad movie
0.0000,lend dignity dumb story
1.0000,great musician
0.0000,cold movie
1.0000,usual intelligence subtlety
0.0000,redundant concept
1.0000,swim young woman face cast actress face project woman doubt yearning succeed
1.0000,equal original way better
1.0000,karen black camp storm fringe feminist conspiracy theorist name dirty dick
1.0000,smile face
1.0000,come brave uninhibite performance
0.0000,excruciatingly unfunny pitifully unromantic
1.0000,enrich imaginatively mix cast antic spirit
0.0000,half dragonfly worse happen happen
1.0000,world cinema
1.0000,good view alternative
0.0000,plot boilerplate start finish
0.0000,action stilte
1.0000,cylinder
0.0000,find little interest film preachy poorly act
0.0000,far bad movie year
0.0000,sit
1.0000,good man clone weave theme funny film
1.0000,issue adult face marriage think like real issue tuck silly crude storyline
1.0000,hero
0.0000,oblivious existence film
1.0000,sharply
0.0000,entire point shaggy dog story course go classic nowheresville sense
0.0000,dry
0.0000,come recycle time care count
1.0000,cover territory wit originality suggest fourth feature
0.0000,million version game
1.0000,gorgeous deceptively minimalist
1.0000,cross sword good
0.0000,fringe feminist conspiracy theorist
1.0000,prove not lose touch bring superb performance admittedly middle film
0.0000,disappointment
0.0000,horror
1.0000,muddle splash bloody beauty vivid scorsese give
0.0000,pointless
1.0000,beautifully
0.0000,contrive wellworn situation
0.0000,doa
0.0000,poor ben bratt not find stardom mapqu email pointtopoint drive direction
1.0000,subtle touch son room
1.0000,start legend
0.0000,far sophisticated
1.0000,rich vein funny stuff movie
0.0000,apparent joy
0.0000,shot ugly digital video
0.0000,sour little movie core exploration emptiness underlay relentless gaiety film end
0.0000,ford neeson capably hold interest thrill movie
1.0000,pretty damn funny
0.0000,feel character
0.0000,lousy
0.0000,corporate circus record industry current climate merger downsize
1.0000,storyline weave skilfully magnificent swoop aerial shot breathtake overall experience awesome
0.0000,highlypraise disappointment
0.0000,sound like cruel deception carry man marginal intelligence reactionary idea woman total lack empathy
1.0000,fresh
0.0000,dustbin history
0.0000,director eastwood game
1.0000,pay earnest homage turntablist
0.0000,weak
0.0000,skip dreck
0.0000,contain laugh surprise
1.0000,film affirm love power help people endure unimaginable horror
1.0000,absolute joy
1.0000,generate
1.0000,like life not fun high low
1.0000,base true historically significant story
1.0000,wellrounde tribute
0.0000,actor throw spark appear not generate heat cold vacuum comedy start reaction
1.0000,like young robert deniro
1.0000,khouri manage terrific flair extreme screwball farce bloodcurdling family intensity continuum
1.0000,fashion engross entertainment
1.0000,spiffy animate feature
0.0000,sloppily write cast believe central creation bugsy caterer
1.0000,alternate facetious comic parody pulp melodrama smartaleck movie toss intriguing question difference human android life
0.0000,strungtogether moment
1.0000,generous subversive artwork
1.0000,not follow stale standard connectthedot storyline commonplace movie explore seamy underbelly criminal world
1.0000,funny
0.0000,overbear overthetop
1.0000,robert duvall
1.0000,rich sudden wisdom
1.0000,act direct clear washington certainly new career ahead
1.0000,memory
1.0000,respectable new
0.0000,grate showcase
1.0000,hate tear eye away image long read subtitle
0.0000,addition sport bad title recent cinematic history
1.0000,genderbende comedy generally funny
0.0000,build robot haul theater late mystery science theatre tribute certainly go bad killer website movie year
0.0000,not work concert
1.0000,direction fluid nononsense authority performance harris phifer cam ron seal deal
1.0000,like go step
0.0000,harsh work piece storytelle
1.0000,hawaiian shirt
1.0000,take classic story cast attractive talente actor use magnificent landscape create feature film wickedly fun watch
1.0000,provide keenest pleasure
0.0000,altogether slight call kind masterpiece
0.0000,grievous
0.0000,laugh maybe twice completely forget movie time car parking lot
0.0000,hopeless
1.0000,unpretentious charming quirky original
0.0000,nick steinberg match creation pure venality give old college try
1.0000,wellwritten wellacte
0.0000,not conclusive answer film
0.0000,clumsy dialogue heavyhande phoneyfeele sentiment
0.0000,prove lovely trifle unfortunately little love cuteness
1.0000,bring tissue
0.0000,film midtolow budget betray surprisingly shoddy makeup work
1.0000,bring proper conviction role jason bourne
1.0000,young woman great charm generosity diplomacy
1.0000,poignant artist year take effort share impression life loss time art
0.0000,silly
1.0000,cinematic bon bon
0.0000,supremely unfunny unentertaine watch middleage
1.0000,lively engage examination similar obsession dominate family
0.0000,irritate
0.0000,collapse
1.0000,challenge pose forgive film flaw
1.0000,serve workable primer region recent history terrific learn tool
1.0000,wideawake way
0.0000,vainly think
0.0000,big excuse play lewd scene
1.0000,effective stick
